      1,   Total,  -1337.80720 ,      2.80262 ,     -0.38484 ,        778
      1,      1 ,  -1337.43529 ,      2.40916 ,     -1.00047 ,        340
      1,      2 ,  -1337.58150 ,      3.57798 ,     -0.11189 ,        227
      1,      3 ,  -1339.42593 ,      2.03338 ,     -0.44212 ,        108
      1,      4 ,  -1337.83495 ,      2.11946 ,     -1.93469 ,        103

      2,   Total,  -1015.80418 ,    542.85686 ,      1.09310 ,       1052
      2,      1 ,  -1104.37470 ,    484.08101 ,      1.59818 ,        419
      2,      2 ,  -1059.19113 ,    517.18470 ,      1.32199 ,        293
      2,      3 ,   -828.11957 ,    611.18286 ,      0.35610 ,        184
      2,      4 ,   -917.79487 ,    587.44856 ,      0.68329 ,        156

      3,   Total,   -738.72314 ,    644.60014 ,      0.15047 ,       1452
      3,      1 ,   -860.72913 ,    624.28213 ,      0.54940 ,        539
      3,      2 ,   -659.92178 ,    652.31782 ,     -0.07475 ,        473
      3,      3 ,   -747.91176 ,    629.46002 ,      0.12384 ,        204
      3,      4 ,   -610.06780 ,    642.69687 ,     -0.24970 ,        236

      4,   Total,   -642.67308 ,    619.36841 ,     -0.21330 ,       1768
      4,      1 ,   -776.43689 ,    623.20425 ,      0.22390 ,        618
      4,      2 ,   -594.28986 ,    624.77768 ,     -0.33339 ,        552
      4,      3 ,   -595.33216 ,    587.83691 ,     -0.46594 ,        283
      4,      4 ,   -507.55873 ,    583.63351 ,     -0.69779 ,        315
